iter	Passed	Remaining
958	3054	130
959	3057	127
960	3060	124
961	3064	121
962	3067	117
963	3070	114
964	3074	111
965	3077	108
966	3080	105
967	3083	101
968	3086	98
969	3089	95
970	3092	92
971	3096	89
972	3099	86
973	3102	82
974	3106	79
975	3109	76
976	3113	73
977	3116	70
978	3119	66
979	3122	63
980	3125	60
981	3129	57
982	3132	54
983	3135	50
984	3138	47
985	3141	44
986	3144	41
987	3148	38
988	3151	35
989	3154	31
990	3157	28
991	3161	25
992	3165	22
993	3169	19
994	3172	15
995	3175	12
996	3178	9
997	3181	6
998	3185	3
999	3188	0
